,0
0,2118434.0114905466
1,1661748.259199425
2,2123678.796275912
3,1682730.2152217284
4,2288309.42074309
5,1699106.7894365082
6,2202640.4445186993
7,1920332.4398912303
8,1650559.3265677262
9,1363817.1609476109
10,1491863.9915912917
11,2547705.3518711086
12,1441331.0481142863
13,2088013.0123164007
14,1591921.1911464348
15,1431904.5201402172
16,1583502.5371128838
17,1472463.8078169622
18,1828373.75834792
19,1511964.143007945
20,2352882.8456551256
21,1618714.347625251
22,2217909.1501912195
23,1538576.9024370913
24,1618688.9261743836
25,2202291.2080060174
26,1506756.4270335285
27,2222339.049780327
28,1562200.1596146123
29,976132.9965825484
30,1248748.5836006482
31,1656499.8175918767
32,2122099.84090878
33,1723465.5884503417
34,2392334.578120211
35,2363023.178713174
36,1648870.772829841
37,1482358.029030057
38,1546619.2862403593
39,1249410.2679190778
40,1636330.3621132667
41,1511847.7308370513
42,1663297.5595885017
43,1514880.6843754307
44,1476764.0077320097
45,2432430.2616688297
46,2208649.299474939
47,2207419.580620489
48,1267549.2533896253
49,1469573.5779359485
50,1817168.7213322124
51,1368530.6999038903
52,1436965.251053729
53,2209449.402551071
54,1508180.4068018575
55,1651482.6556148927
56,2188186.6240424374
57,2128341.520206807
58,2641699.174528181
59,1463863.1444670074
60,1917708.563990544
61,1140214.9220897583
62,2147276.055297561
63,1580677.0143417753
64,2154216.207620952
65,2368035.139156752
66,1936596.545459452
67,2073326.3674983508
68,1238700.1591745813
69,1869771.690310793
70,1945392.242109117
71,1444778.835310858
72,1968420.7277794618
73,1430991.2526089519
74,1181918.3813924575
75,1436681.6116865568
76,1331399.7017373848
77,1458875.687562342
78,1572586.604517615
79,1251918.0237012575
80,1941068.2561922288
81,1802895.4155553945
82,2192267.287118863
83,1472514.6228423463
84,1903614.4785256383
85,2289357.130281136
86,2007807.4398040418
87,1957222.1866846925
88,951579.8818060764
89,1539488.1254129072
90,1329212.3740293114
91,1525012.1590778898
92,1244378.3573925146
93,1556767.128417707
94,2013750.6976147713
95,1785068.2633836605
96,2073792.0161819267
97,1392505.2650615128
98,1226573.087499239
99,1413367.99203208
